epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.486,2.17639,2.49253,1.73948,0.40609,0.37467,0.37394,0.16984,1.87821,1.82914,1.22924,0.0033235,0.0033235,0.0033235
2,319.568,1.9163,1.84732,1.50886,0.22852,0.17875,0.10462,0.03156,2.75665,2.73865,1.83735,0.00664365,0.00664365,0.00664365
3,475.147,2.09516,2.04594,1.59374,0.03725,0.06042,0.0112,0.00265,3.49917,3.6632,2.36423,0.00995061,0.00995061,0.00995061
4,632.823,2.19161,2.15487,1.64818,0.05694,0.05984,0.01468,0.0044,3.24242,3.90823,2.24401,0.0099406,0.0099406,0.0099406
5,789.112,2.13228,2.08696,1.62871,0.04705,0.0566,0.0216,0.0049,3.54502,3.89011,2.43992,0.0099208,0.0099208,0.0099208
6,944.494,2.04402,1.92542,1.57336,0.05046,0.04517,0.01609,0.00517,3.43959,3.79128,2.3476,0.009901,0.009901,0.009901
7,1098.47,1.97966,1.85289,1.53943,0.12785,0.08349,0.03992,0.01211,3.17797,3.79584,2.16688,0.0098812,0.0098812,0.0098812
8,1253.5,1.93803,1.77579,1.5106,0.06556,0.07611,0.02915,0.01001,3.04364,3.55911,2.07438,0.0098614,0.0098614,0.0098614
9,1413.95,1.90538,1.75436,1.49437,0.09462,0.06774,0.0241,0.00814,3.28943,3.78877,2.39666,0.0098416,0.0098416,0.0098416
10,1570.41,1.85315,1.66738,1.47084,0.07131,0.03928,0.01701,0.00651,3.27152,3.66715,2.28346,0.0098218,0.0098218,0.0098218
11,1724.19,1.79544,1.5977,1.43465,0.12118,0.064,0.0321,0.01139,2.97393,3.52693,2.13308,0.009802,0.009802,0.009802
12,1878.97,1.78944,1.58907,1.41952,0.05267,0.03587,0.01475,0.00427,3.40088,4.40381,2.31901,0.0097822,0.0097822,0.0097822
13,2034.59,1.77575,1.57125,1.42817,0.07846,0.07914,0.02982,0.0095,3.08842,3.53195,2.11678,0.0097624,0.0097624,0.0097624
14,2190.56,1.75559,1.55197,1.41461,0.08798,0.04508,0.02406,0.00711,3.11533,3.57247,2.19167,0.0097426,0.0097426,0.0097426
15,2349.22,1.70451,1.47812,1.37683,0.06786,0.06156,0.02366,0.00714,3.10996,3.59394,2.22879,0.0097228,0.0097228,0.0097228
16,2502.57,1.68714,1.45909,1.36887,0.11912,0.06913,0.03661,0.01187,3.02796,3.56146,2.15397,0.009703,0.009703,0.009703
17,2655.32,1.64812,1.42283,1.35662,0.01739,0.21929,0.01546,0.00518,3.17047,4.40412,2.24718,0.0096832,0.0096832,0.0096832
18,2808.17,1.6647,1.4278,1.36457,0.06786,0.04579,0.02481,0.0087,3.04251,3.9932,2.18121,0.0096634,0.0096634,0.0096634
19,2968.81,1.64156,1.41581,1.34332,0.0821,0.03701,0.03049,0.01115,3.15339,4.21178,2.29723,0.0096436,0.0096436,0.0096436
20,3129.45,1.60846,1.35451,1.32406,0.08411,0.06031,0.0347,0.01318,3.05415,3.83704,2.1414,0.0096238,0.0096238,0.0096238
21,3281.25,1.61493,1.36671,1.33079,0.07084,0.05203,0.02726,0.01036,3.08965,4.35964,2.17926,0.009604,0.009604,0.009604
22,3432.73,1.59018,1.33268,1.31206,0.07807,0.04804,0.03037,0.00973,3.0889,4.00733,2.14487,0.0095842,0.0095842,0.0095842
23,3584.73,1.58429,1.31773,1.3055,0.08521,0.03,0.02327,0.00867,2.95465,4.39701,2.14953,0.0095644,0.0095644,0.0095644
24,3737.16,1.55989,1.29517,1.29641,0.10762,0.03898,0.02863,0.00961,3.22253,3.96062,2.27791,0.0095446,0.0095446,0.0095446
25,3890.38,1.55255,1.2987,1.29758,0.02149,0.24381,0.02769,0.0084,3.09966,4.23313,2.21281,0.0095248,0.0095248,0.0095248
26,4043.92,1.52839,1.27953,1.28198,0.1502,0.0584,0.03725,0.01383,2.89841,3.97325,2.08766,0.009505,0.009505,0.009505
27,4195.65,1.53728,1.28134,1.28339,0.05898,0.04601,0.02196,0.00793,2.93864,3.84771,2.04863,0.0094852,0.0094852,0.0094852
