epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6308.84,0.59386,0.36855,0.84051,0.81846,0.41425,0.57476,0.41125,1.30669,1.99341,1.17898,0.0091882,0.0091882,0.0091882
43,6456.14,0.5834,0.36179,0.84346,0.81971,0.45018,0.60526,0.43478,1.24284,1.82749,1.14245,0.0091684,0.0091684,0.0091684
44,6603.24,0.57211,0.35399,0.83667,0.82384,0.44582,0.61243,0.43194,1.30634,1.93043,1.18982,0.0091486,0.0091486,0.0091486
45,6750.18,0.57614,0.35568,0.83899,0.78713,0.4724,0.60516,0.42809,1.31492,1.79736,1.17689,0.0091288,0.0091288,0.0091288
46,6897.11,0.57661,0.35654,0.82983,0.82995,0.44375,0.61269,0.4339,1.26865,1.91783,1.15239,0.009109,0.009109,0.009109
47,7043.97,0.56613,0.35394,0.83329,0.59787,0.49806,0.59493,0.4344,1.30203,2.5277,1.1797,0.0090892,0.0090892,0.0090892
48,7191.18,0.56471,0.34618,0.8344,0.50243,0.56288,0.58998,0.42943,1.26024,2.07138,1.14208,0.0090694,0.0090694,0.0090694
49,7338.41,0.56599,0.34524,0.833,0.80307,0.46629,0.6183,0.43619,1.22978,1.77416,1.14751,0.0090496,0.0090496,0.0090496
50,7485.37,0.56914,0.34948,0.83683,0.81167,0.47785,0.61914,0.43688,1.26611,1.68478,1.15383,0.0090298,0.0090298,0.0090298
51,7632.57,0.55718,0.34572,0.83449,0.82798,0.48815,0.64302,0.45927,1.21087,1.61843,1.13357,0.00901,0.00901,0.00901
52,7779.64,0.54858,0.34141,0.82873,0.83405,0.45197,0.62338,0.45132,1.25872,1.85995,1.15446,0.0089902,0.0089902,0.0089902
53,7926.97,0.55538,0.34374,0.83274,0.84039,0.46507,0.62943,0.45529,1.21871,1.80636,1.11873,0.0089704,0.0089704,0.0089704
54,8074.16,0.55641,0.34303,0.83128,0.81485,0.47484,0.62471,0.43807,1.26735,1.786,1.17444,0.0089506,0.0089506,0.0089506
55,8221.08,0.55284,0.33851,0.83285,0.84699,0.46311,0.62819,0.45593,1.24264,1.79133,1.14165,0.0089308,0.0089308,0.0089308
56,8368.48,0.53936,0.33449,0.83012,0.80009,0.46926,0.61971,0.45085,1.23056,1.74043,1.15862,0.008911,0.008911,0.008911
57,8515.55,0.54451,0.34073,0.83174,0.5526,0.55254,0.62111,0.46065,1.24477,2.07035,1.14353,0.0088912,0.0088912,0.0088912
58,8662.54,0.54027,0.33239,0.8239,0.80157,0.4313,0.5838,0.42598,1.30078,2.01295,1.17461,0.0088714,0.0088714,0.0088714
59,8809.9,0.54257,0.33288,0.82956,0.83938,0.46828,0.63051,0.46066,1.19734,1.78658,1.12287,0.0088516,0.0088516,0.0088516
60,8957.7,0.52845,0.32487,0.82812,0.83975,0.4516,0.61496,0.45381,1.18304,1.80588,1.12303,0.0088318,0.0088318,0.0088318
61,9104.57,0.53313,0.32733,0.82271,0.78581,0.47567,0.62361,0.45753,1.23174,2.00807,1.1608,0.008812,0.008812,0.008812
62,9251.78,0.53557,0.3262,0.82407,0.60435,0.51506,0.61492,0.46436,1.21971,2.28147,1.15269,0.0087922,0.0087922,0.0087922
63,9399.2,0.52998,0.3241,0.82306,0.52684,0.52841,0.59471,0.44456,1.21797,2.3088,1.13963,0.0087724,0.0087724,0.0087724
64,9546.2,0.52937,0.32451,0.82348,0.55303,0.50843,0.58788,0.44391,1.22904,2.33392,1.15587,0.0087526,0.0087526,0.0087526
65,9693,0.52964,0.32092,0.82333,0.64182,0.53424,0.63455,0.4679,1.24287,2.16639,1.15752,0.0087328,0.0087328,0.0087328
66,9840.05,0.5235,0.32245,0.82459,0.55911,0.55754,0.61497,0.45232,1.21666,2.02043,1.14568,0.008713,0.008713,0.008713
67,9986.78,0.51762,0.31846,0.82374,0.56248,0.54908,0.62373,0.46545,1.2064,2.08359,1.13605,0.0086932,0.0086932,0.0086932
68,10133.9,0.5275,0.32197,0.81946,0.59491,0.5675,0.64013,0.47029,1.21669,2.08649,1.12236,0.0086734,0.0086734,0.0086734
69,10280.9,0.51939,0.31689,0.82393,0.5962,0.54471,0.63485,0.46925,1.20634,2.0123,1.13107,0.0086536,0.0086536,0.0086536
70,10427.9,0.51045,0.31443,0.81956,0.84429,0.45321,0.62281,0.45925,1.22173,2.00116,1.15813,0.0086338,0.0086338,0.0086338
71,10575.4,0.52235,0.31911,0.82532,0.83966,0.46535,0.63645,0.47393,1.17456,1.9127,1.12239,0.008614,0.008614,0.008614
72,10722.4,0.51479,0.31511,0.82394,0.8341,0.45718,0.62767,0.46395,1.2007,1.89925,1.14117,0.0085942,0.0085942,0.0085942
73,10869.2,0.50854,0.31248,0.81743,0.63068,0.53612,0.64473,0.48653,1.16721,2.14332,1.09779,0.0085744,0.0085744,0.0085744
74,11016.3,0.50951,0.31121,0.82093,0.57028,0.55627,0.62343,0.46757,1.19509,2.05487,1.11457,0.0085546,0.0085546,0.0085546
75,11163.4,0.51084,0.30701,0.82499,0.56708,0.55963,0.62475,0.46784,1.15393,2.03976,1.10184,0.0085348,0.0085348,0.0085348
76,11310.9,0.52014,0.31358,0.82173,0.6118,0.55152,0.64045,0.48045,1.16437,2.02815,1.09325,0.008515,0.008515,0.008515
77,11457.6,0.50441,0.30524,0.82247,0.60826,0.54847,0.63421,0.4698,1.19699,2.24122,1.11715,0.0084952,0.0084952,0.0084952
78,11605.1,0.50382,0.30524,0.82495,0.59853,0.57896,0.65037,0.47564,1.18871,1.96,1.11516,0.0084754,0.0084754,0.0084754
79,11752.6,0.50626,0.30913,0.8205,0.6305,0.57121,0.65682,0.48662,1.19502,1.95022,1.12716,0.0084556,0.0084556,0.0084556
80,11900,0.49605,0.30482,0.8211,0.8495,0.47483,0.65096,0.47808,1.18752,1.82639,1.1165,0.0084358,0.0084358,0.0084358
81,12047.1,0.51502,0.31397,0.82025,0.83436,0.48091,0.63969,0.46684,1.19789,1.78997,1.12159,0.008416,0.008416,0.008416
82,12194,0.50063,0.30289,0.81615,0.58745,0.55601,0.63091,0.46908,1.19747,2.02627,1.11045,0.0083962,0.0083962,0.0083962
83,12341.6,0.49961,0.30381,0.81547,0.82274,0.49404,0.6491,0.48045,1.17317,1.85164,1.1141,0.0083764,0.0083764,0.0083764
84,12488.9,0.49522,0.30215,0.81891,0.59204,0.58372,0.65422,0.48009,1.19318,1.91648,1.12414,0.0083566,0.0083566,0.0083566
85,12636.9,0.49583,0.30277,0.81885,0.8051,0.50184,0.65219,0.48085,1.17034,1.85635,1.11402,0.0083368,0.0083368,0.0083368
86,12784.5,0.48602,0.29748,0.81711,0.6258,0.57135,0.65542,0.48977,1.15573,1.92091,1.10516,0.008317,0.008317,0.008317
87,12932.1,0.4883,0.2981,0.81715,0.82937,0.48406,0.65012,0.48068,1.16467,1.80216,1.11339,0.0082972,0.0082972,0.0082972
88,13079.8,0.49133,0.29791,0.81737,0.85316,0.50546,0.67232,0.49349,1.15249,1.63576,1.1134,0.0082774,0.0082774,0.0082774
89,13227.1,0.49096,0.29756,0.8219,0.83169,0.50313,0.66666,0.49248,1.14804,1.76933,1.11173,0.0082576,0.0082576,0.0082576
90,13374.4,0.48076,0.29475,0.81496,0.60152,0.58926,0.65845,0.49034,1.1635,1.88038,1.11303,0.0082378,0.0082378,0.0082378
91,13521.9,0.49678,0.29543,0.81399,0.6235,0.56926,0.65368,0.49137,1.15283,1.92172,1.12463,0.008218,0.008218,0.008218
92,13669.3,0.48297,0.29582,0.81345,0.63568,0.54367,0.64368,0.48499,1.16451,2.0409,1.11984,0.0081982,0.0081982,0.0081982
93,13816.4,0.48274,0.29571,0.81708,0.67796,0.55032,0.65871,0.49416,1.16937,2.13432,1.12152,0.0081784,0.0081784,0.0081784
94,13963.7,0.48401,0.29332,0.81567,0.62648,0.58492,0.66146,0.49195,1.1623,1.92523,1.11588,0.0081586,0.0081586,0.0081586
95,14111.3,0.48433,0.29573,0.81481,0.62041,0.58677,0.65952,0.48923,1.1593,1.87625,1.10528,0.0081388,0.0081388,0.0081388
96,14259.1,0.48708,0.29507,0.81683,0.63862,0.57829,0.66111,0.49197,1.15606,1.95491,1.10351,0.008119,0.008119,0.008119
97,14406.6,0.47996,0.29433,0.81279,0.60725,0.57603,0.64852,0.48258,1.17176,1.93982,1.11733,0.0080992,0.0080992,0.0080992
98,14554,0.47716,0.28533,0.81346,0.65157,0.54989,0.65018,0.48816,1.16033,2.08617,1.1109,0.0080794,0.0080794,0.0080794
99,14701.3,0.48089,0.29139,0.81333,0.65766,0.53188,0.64387,0.48943,1.15526,2.14807,1.10921,0.0080596,0.0080596,0.0080596
100,14848.7,0.47774,0.29172,0.81473,0.66148,0.55917,0.65811,0.49653,1.15484,2.00958,1.10684,0.0080398,0.0080398,0.0080398
101,14995,0.46838,0.28205,0.81193,0.66343,0.56471,0.6638,0.499,1.15577,1.97294,1.10948,0.00802,0.00802,0.00802
