epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,5043.41,0.6531,0.41026,0.85819,0.80732,0.64091,0.72282,0.51034,1.04702,1.10702,1.03156,0.0093268,0.0093268,0.0093268
36,5187.03,0.65038,0.40892,0.8539,0.8146,0.6347,0.72959,0.51748,1.04909,1.14801,1.0287,0.009307,0.009307,0.009307
37,5332.32,0.66069,0.41798,0.85666,0.813,0.6453,0.73167,0.51411,1.06389,1.08195,1.03311,0.0092872,0.0092872,0.0092872
38,5475.65,0.66585,0.41632,0.86511,0.80211,0.62045,0.70838,0.50355,1.05419,1.16759,1.02992,0.0092674,0.0092674,0.0092674
39,5619.54,0.65074,0.40742,0.85818,0.80114,0.63511,0.71411,0.50354,1.0682,1.13933,1.03303,0.0092476,0.0092476,0.0092476
40,5762.5,0.64827,0.40742,0.86227,0.82743,0.65785,0.75342,0.53581,1.04175,1.06518,1.02542,0.0092278,0.0092278,0.0092278
41,5904.77,0.6663,0.41569,0.86478,0.79138,0.62981,0.71999,0.50944,1.06277,1.14456,1.02681,0.009208,0.009208,0.009208
42,6049.66,0.62739,0.39054,0.85375,0.79031,0.61932,0.70931,0.50376,1.06334,1.23949,1.02334,0.0091882,0.0091882,0.0091882
43,6193.17,0.62872,0.3951,0.855,0.79159,0.62867,0.7137,0.51009,1.06318,1.17748,1.02692,0.0091684,0.0091684,0.0091684
44,6337.19,0.63851,0.39234,0.85535,0.81967,0.65008,0.73741,0.52762,1.03451,1.12753,1.01417,0.0091486,0.0091486,0.0091486
45,6481.68,0.64095,0.39818,0.85356,0.81554,0.65895,0.7517,0.53692,1.019,1.02412,1.01438,0.0091288,0.0091288,0.0091288
46,6624.97,0.6245,0.39394,0.85099,0.81365,0.60819,0.71275,0.51288,1.05298,1.16635,1.04107,0.009109,0.009109,0.009109
47,6767.59,0.60587,0.376,0.85496,0.78988,0.6407,0.72243,0.51696,1.04971,1.18209,1.02763,0.0090892,0.0090892,0.0090892
48,6911.03,0.62855,0.38749,0.85291,0.80534,0.63187,0.72682,0.51728,1.06081,1.17822,1.03264,0.0090694,0.0090694,0.0090694
49,7054.51,0.6271,0.39698,0.84984,0.81225,0.61602,0.72324,0.52337,1.04102,1.27176,1.01223,0.0090496,0.0090496,0.0090496
50,7198.15,0.6222,0.37745,0.85358,0.80275,0.61598,0.71444,0.51378,1.06415,1.19032,1.03241,0.0090298,0.0090298,0.0090298
51,7341.64,0.61625,0.37936,0.84778,0.81763,0.63654,0.7271,0.52547,1.01771,1.08956,1.01118,0.00901,0.00901,0.00901
52,7484.58,0.62141,0.3781,0.84922,0.80449,0.61986,0.71308,0.51296,1.06593,1.22996,1.03047,0.0089902,0.0089902,0.0089902
53,7628.72,0.61339,0.37793,0.85182,0.82643,0.63337,0.7406,0.52726,1.04996,1.16062,1.02264,0.0089704,0.0089704,0.0089704
54,7775.59,0.61288,0.37875,0.84467,0.82181,0.63842,0.7372,0.5309,1.0266,1.15352,1.01602,0.0089506,0.0089506,0.0089506
55,7918.84,0.59307,0.36241,0.85308,0.80402,0.63817,0.72636,0.52466,1.02256,1.1207,1.018,0.0089308,0.0089308,0.0089308
56,8063.57,0.5932,0.36724,0.84204,0.81971,0.65114,0.73495,0.52784,1.01488,1.08729,1.01661,0.008911,0.008911,0.008911
57,8207.73,0.59086,0.36071,0.84517,0.80744,0.63743,0.73432,0.53601,1.01327,1.17224,1.00121,0.0088912,0.0088912,0.0088912
58,8352.03,0.60203,0.36706,0.84362,0.81934,0.67266,0.75683,0.5459,1.02217,1.04632,1.0081,0.0088714,0.0088714,0.0088714
59,8496.8,0.60082,0.36699,0.84615,0.7967,0.6245,0.71201,0.516,1.03192,1.21526,1.01974,0.0088516,0.0088516,0.0088516
60,8639.19,0.58536,0.355,0.84239,0.82679,0.63894,0.74238,0.54173,1.01237,1.11914,1.01777,0.0088318,0.0088318,0.0088318
61,8781.66,0.59756,0.36218,0.84569,0.83568,0.64411,0.74034,0.53982,1.02296,1.10146,1.01877,0.008812,0.008812,0.008812
62,8925.19,0.58243,0.35708,0.84329,0.81916,0.65817,0.74969,0.54582,1.00276,1.09778,1.00567,0.0087922,0.0087922,0.0087922
63,9069.53,0.58208,0.35983,0.84133,0.79323,0.64202,0.72902,0.53165,1.01419,1.15356,1.02195,0.0087724,0.0087724,0.0087724
64,9211.19,0.59527,0.36079,0.84438,0.8247,0.62331,0.73171,0.53559,1.01311,1.13888,1.01332,0.0087526,0.0087526,0.0087526
65,9353.91,0.58355,0.35368,0.83846,0.83159,0.6517,0.74776,0.54636,1.00079,1.08128,1.01002,0.0087328,0.0087328,0.0087328
66,9495.89,0.58551,0.35554,0.84073,0.82281,0.64268,0.74038,0.54235,1.02017,1.17274,1.014,0.008713,0.008713,0.008713
67,9642.6,0.57864,0.35126,0.83416,0.84726,0.63797,0.74801,0.54682,0.99942,1.14052,1.00946,0.0086932,0.0086932,0.0086932
68,9785.84,0.56865,0.34765,0.83679,0.80117,0.62954,0.72809,0.53493,1.01589,1.25186,1.00753,0.0086734,0.0086734,0.0086734
69,9927.45,0.5718,0.35202,0.8411,0.81272,0.63671,0.73429,0.54002,1.00161,1.16371,1.00654,0.0086536,0.0086536,0.0086536
70,10070.5,0.56276,0.3449,0.84008,0.81232,0.62325,0.71762,0.53211,1.00584,1.22033,1.00332,0.0086338,0.0086338,0.0086338
71,10212.5,0.57983,0.35638,0.84125,0.81626,0.6495,0.742,0.54189,1.00963,1.13802,1.00399,0.008614,0.008614,0.008614
72,10354.6,0.57035,0.34467,0.83465,0.81919,0.63361,0.73408,0.53668,1.01221,1.15987,1.00619,0.0085942,0.0085942,0.0085942
73,10498,0.57757,0.34992,0.84203,0.8243,0.63936,0.7381,0.54119,1.02344,1.1945,1.01167,0.0085744,0.0085744,0.0085744
74,10640.2,0.55436,0.33669,0.83916,0.81923,0.60782,0.713,0.52557,1.02781,1.30621,1.0159,0.0085546,0.0085546,0.0085546
75,10783.1,0.55706,0.33923,0.83354,0.82281,0.62992,0.72879,0.53552,1.01118,1.16291,1.00682,0.0085348,0.0085348,0.0085348
76,10928.5,0.56557,0.34487,0.83619,0.83144,0.6469,0.74306,0.54636,0.99844,1.13928,1.01387,0.008515,0.008515,0.008515
77,11072.2,0.57472,0.34925,0.83886,0.82557,0.6294,0.73136,0.5414,0.99623,1.20926,1.00129,0.0084952,0.0084952,0.0084952
78,11215.2,0.55651,0.33622,0.83217,0.82713,0.62856,0.73087,0.53873,1.01343,1.22425,1.00776,0.0084754,0.0084754,0.0084754
79,11358.4,0.55119,0.32974,0.83391,0.82648,0.64967,0.73936,0.54322,1.00648,1.19195,1.01234,0.0084556,0.0084556,0.0084556
80,11502.3,0.56884,0.34601,0.83896,0.81849,0.63562,0.74281,0.54615,1.01229,1.24108,1.01447,0.0084358,0.0084358,0.0084358
81,11644.9,0.55735,0.34341,0.83613,0.81628,0.63696,0.73998,0.54641,1.00766,1.22254,1.01439,0.008416,0.008416,0.008416
82,11787.1,0.54853,0.33254,0.83369,0.80366,0.65399,0.73661,0.54242,0.99064,1.1605,1.00536,0.0083962,0.0083962,0.0083962
83,11932.4,0.56379,0.33989,0.83703,0.81295,0.63675,0.73356,0.5469,0.99979,1.25888,1.00842,0.0083764,0.0083764,0.0083764
84,12078.6,0.53464,0.32587,0.83197,0.80991,0.63637,0.73369,0.54561,0.98892,1.20365,1.00016,0.0083566,0.0083566,0.0083566
85,12220.6,0.53685,0.32086,0.83134,0.80908,0.64761,0.74165,0.55185,0.98575,1.17042,1.00575,0.0083368,0.0083368,0.0083368
86,12364.5,0.5376,0.32708,0.8294,0.80343,0.63256,0.73902,0.54626,1.00258,1.21829,1.0105,0.008317,0.008317,0.008317
87,12507.2,0.5479,0.333,0.83226,0.82692,0.64674,0.73943,0.54413,0.99197,1.12999,1.00712,0.0082972,0.0082972,0.0082972
88,12649.6,0.54739,0.32692,0.83271,0.82539,0.64964,0.74157,0.54809,0.97948,1.10217,0.99791,0.0082774,0.0082774,0.0082774
89,12792.6,0.54837,0.3325,0.83801,0.83322,0.65084,0.75025,0.55557,0.98613,1.11021,0.99834,0.0082576,0.0082576,0.0082576
90,12934.9,0.53691,0.32105,0.83228,0.81056,0.62567,0.72841,0.53529,1.01176,1.2245,1.01373,0.0082378,0.0082378,0.0082378
91,13076.5,0.5516,0.33211,0.83827,0.8242,0.63586,0.73571,0.54595,1.00314,1.2183,1.01278,0.008218,0.008218,0.008218
92,13219.5,0.5401,0.32421,0.829,0.82381,0.63179,0.74022,0.54589,1.00006,1.14482,1.01259,0.0081982,0.0081982,0.0081982
93,13362.3,0.54003,0.32946,0.8289,0.814,0.6201,0.73076,0.54186,1.0039,1.22217,1.01282,0.0081784,0.0081784,0.0081784
94,13509.3,0.53587,0.32648,0.82789,0.80973,0.61439,0.72297,0.53857,1.00177,1.24643,1.01078,0.0081586,0.0081586,0.0081586
95,13652.6,0.53932,0.321,0.83276,0.80259,0.62953,0.73108,0.54612,0.99219,1.25103,1.00834,0.0081388,0.0081388,0.0081388
96,13795.1,0.54345,0.32399,0.82905,0.81369,0.64087,0.73854,0.55242,0.98238,1.21722,1.00095,0.008119,0.008119,0.008119
97,13940.2,0.543,0.32155,0.8282,0.8253,0.61552,0.72638,0.54508,0.98791,1.25614,1.0048,0.0080992,0.0080992,0.0080992
98,14086.1,0.53423,0.32082,0.83054,0.80491,0.61069,0.71929,0.54152,0.99734,1.30019,1.00651,0.0080794,0.0080794,0.0080794
99,14228.6,0.53004,0.31612,0.82555,0.81314,0.61583,0.71843,0.53977,1.00114,1.27699,1.01016,0.0080596,0.0080596,0.0080596
100,14371.4,0.53168,0.3169,0.82875,0.82351,0.61031,0.71966,0.53722,0.9972,1.27621,1.0076,0.0080398,0.0080398,0.0080398
101,14515,0.53818,0.32675,0.83082,0.82455,0.62483,0.73057,0.54488,0.99392,1.2496,1.0055,0.00802,0.00802,0.00802
