epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.307,1.23485,1.03715,1.07369,0.82791,0.75787,0.82619,0.44685,1.49807,0.85197,1.01513,0.0033235,0.0033235,0.0033235
2,335.774,1.22149,0.86922,1.04317,0.80825,0.72943,0.7894,0.45733,1.39427,0.93369,1.03898,0.00664365,0.00664365,0.00664365
3,492.489,1.32863,0.96887,1.09687,0.65317,0.53627,0.59159,0.33617,1.55834,1.26768,1.18693,0.00995061,0.00995061,0.00995061
4,647.383,1.41863,1.08334,1.16868,0.61635,0.41519,0.47306,0.27861,1.76542,1.6717,1.34929,0.0099406,0.0099406,0.0099406
5,801.935,1.39123,1.0165,1.15455,0.55699,0.53958,0.58415,0.33701,1.5633,1.46808,1.26157,0.0099208,0.0099208,0.0099208
6,956.699,1.32927,0.94436,1.12881,0.59023,0.49035,0.54237,0.32818,1.50502,1.40231,1.20742,0.009901,0.009901,0.009901
7,1113.41,1.27471,0.90295,1.09713,0.70904,0.56548,0.62729,0.36684,1.46198,1.08344,1.1928,0.0098812,0.0098812,0.0098812
8,1268.96,1.25409,0.88319,1.09866,0.72017,0.59696,0.65546,0.36018,1.57929,1.17995,1.20544,0.0098614,0.0098614,0.0098614
9,1422.49,1.222,0.84654,1.09035,0.70047,0.61027,0.66678,0.38767,1.49683,1.0997,1.17786,0.0098416,0.0098416,0.0098416
10,1576.23,1.17989,0.80077,1.06261,0.72739,0.58411,0.66431,0.40228,1.38816,1.08398,1.14193,0.0098218,0.0098218,0.0098218
11,1730.11,1.13645,0.7781,1.04999,0.72074,0.60673,0.66935,0.42859,1.30525,1.13097,1.11673,0.009802,0.009802,0.009802
12,1884.22,1.12968,0.77163,1.04072,0.78007,0.64644,0.72714,0.44574,1.34809,0.98284,1.12422,0.0097822,0.0097822,0.0097822
13,2038.68,1.11225,0.73933,1.03852,0.75003,0.60177,0.68791,0.39932,1.45103,1.05996,1.16713,0.0097624,0.0097624,0.0097624
14,2192.77,1.09345,0.7195,1.02768,0.74479,0.6011,0.67624,0.42677,1.35314,1.0639,1.12422,0.0097426,0.0097426,0.0097426
15,2346.14,1.07573,0.70996,1.02452,0.79485,0.62679,0.71273,0.45587,1.25492,0.95745,1.09327,0.0097228,0.0097228,0.0097228
16,2499.82,1.05582,0.70097,1.01395,0.77099,0.62578,0.7055,0.44747,1.27662,0.9635,1.10804,0.009703,0.009703,0.009703
17,2654.69,1.04509,0.67944,1.01242,0.7462,0.60782,0.68361,0.42019,1.36141,1.02618,1.13957,0.0096832,0.0096832,0.0096832
18,2808.43,1.01949,0.65739,0.99954,0.79691,0.62447,0.71546,0.45783,1.26223,0.99155,1.09151,0.0096634,0.0096634,0.0096634
19,2960.76,1.0238,0.6676,1.00472,0.78148,0.62478,0.70724,0.44776,1.29676,0.99601,1.10173,0.0096436,0.0096436,0.0096436
20,3112.55,0.99885,0.6501,0.99208,0.77312,0.62964,0.70401,0.44292,1.27777,0.97355,1.12222,0.0096238,0.0096238,0.0096238
21,3264.42,0.99967,0.64641,0.98903,0.78296,0.64032,0.72749,0.46757,1.22909,0.96156,1.08463,0.009604,0.009604,0.009604
22,3417.14,0.99564,0.6397,0.99607,0.76854,0.64069,0.71804,0.47028,1.22027,0.98828,1.07531,0.0095842,0.0095842,0.0095842
23,3569.81,0.97002,0.61948,0.9811,0.79517,0.66655,0.74679,0.47918,1.21434,0.90579,1.06057,0.0095644,0.0095644,0.0095644
24,3723.13,0.96249,0.62361,0.98055,0.78985,0.62515,0.72658,0.46722,1.24852,0.95971,1.09768,0.0095446,0.0095446,0.0095446
25,3874.53,0.96815,0.61296,0.98085,0.77627,0.61307,0.70443,0.46396,1.2386,1.03912,1.09166,0.0095248,0.0095248,0.0095248
26,4026.07,0.94715,0.60679,0.9769,0.7939,0.63963,0.72115,0.4697,1.21375,0.97631,1.07122,0.009505,0.009505,0.009505
27,4177.17,0.95218,0.60471,0.97541,0.80485,0.63095,0.72123,0.47596,1.20789,1.01072,1.06791,0.0094852,0.0094852,0.0094852
